x	y	h
-1000.0	-1000.0	76.317151496
-972.972972973	-1000.0	76.880641571
-945.945945946	-1000.0	77.4564605009
-918.918918919	-1000.0	78.044923501
-891.891891892	-1000.0	78.6463444602
-864.864864865	-1000.0	79.2610356647
-837.837837838	-1000.0	79.8893077824
-810.810810811	-1000.0	80.5314701548
-783.783783784	-1000.0	81.1878314346
-756.756756757	-1000.0	81.8587005879
-729.72972973	-1000.0	82.5443882607
-702.702702703	-1000.0	83.2452084775
-675.675675676	-1000.0	83.9614805995
-648.648648649	-1000.0	84.6935314255
-621.621621622	-1000.0	85.4416972629
-594.594594595	-1000.0	86.2063257292
-567.567567568	-1000.0	86.9877769723
-540.540540541	-1000.0	87.7864239074
-513.513513514	-1000.0	88.6026509668
-486.486486486	-1000.0	89.4368507308
-459.459459459	-1000.0	90.289417656
-432.432432432	-1000.0	91.1607379192
-405.405405405	-1000.0	92.0511741511
-378.378378378	-1000.0	92.9610435142
-351.351351351	-1000.0	93.8905871771
-324.324324324	-1000.0	94.8399287267
-297.297297297	-1000.0	95.809018425
-270.27027027	-1000.0	96.7975594603
-243.243243243	-1000.0	97.8049114665
-216.216216216	-1000.0	98.8299656666
-189.189189189	-1000.0	99.870985181
-162.162162162	-1000.0	100.92540362
-135.135135135	-1000.0	101.989575609
-108.108108108	-1000.0	103.058475283
-81.0810810811	-1000.0	104.125344418
-54.0540540541	-1000.0	105.181302799
-27.027027027	-1000.0	106.21495194
0.0	-1000.0	107.212031404
27.027027027	-1000.0	108.15522424
54.0540540541	-1000.0	109.024248507
81.0810810811	-1000.0	109.796399056
108.108108108	-1000.0	110.447689686
135.135135135	-1000.0	110.954656483
162.162162162	-1000.0	111.296701585
189.189189189	-1000.0	111.458615864
216.216216216	-1000.0	111.432720811
243.243243243	-1000.0	111.220048257
270.27027027	-1000.0	110.830202184
297.297297297	-1000.0	110.279945122
324.324324324	-1000.0	109.590928462
351.351351351	-1000.0	108.787163076
378.378378378	-1000.0	107.892760329
405.405405405	-1000.0	106.930256112
432.432432432	-1000.0	105.919595552
459.459459459	-1000.0	104.87769241
486.486486486	-1000.0	103.818405303
513.513513514	-1000.0	102.75276974
540.540540541	-1000.0	101.689356823
567.567567568	-1000.0	100.634670098
594.594594595	-1000.0	99.5935277863
621.621621622	-1000.0	98.5694037532
648.648648649	-1000.0	97.5647173613
675.675675676	-1000.0	96.5810720672
702.702702703	-1000.0	95.6194474553
729.72972973	-1000.0	94.6803513224
756.756756757	-1000.0	93.7639387021
783.783783784	-1000.0	92.8701041799
810.810810811	-1000.0	91.9985529829
837.837837838	-1000.0	91.1488553987
864.864864865	-1000.0	90.3204882079
891.891891892	-1000.0	89.5128660607
918.918918919	-1000.0	88.7253651019
945.945945946	-1000.0	87.9573406394
972.972972973	-1000.0	87.2081402505
1000.0	-1000.0	86.4771134
-1000.0	-972.972972973	76.4146844883
-972.972972973	-972.972972973	76.9855747892
-945.945945946	-972.972972973	77.5693515374
-918.918918919	-972.972972973	78.166364172
-891.891891892	-972.972972973	78.7769618723
-864.864864865	-972.972972973	79.4014933625
-837.837837838	-972.972972973	80.0403070644
-810.810810811	-972.972972973	80.6937516699
-783.783783784	-972.972972973	81.3621772031
-756.756756757	-972.972972973	82.0459366237
-729.72972973	-972.972972973	82.7453880022
-702.702702703	-972.972972973	83.4608972675
-675.675675676	-972.972972973	84.1928414854
-648.648648649	-972.972972973	84.9416125787
-621.621621622	-972.972972973	85.70762134
-594.594594595	-972.972972973	86.491301522
-567.567567568	-972.972972973	87.2931137123
-540.540540541	-972.972972973	88.1135486096
-513.513513514	-972.972972973	88.9531292151
-486.486486486	-972.972972973	89.8124113253
-459.459459459	-972.972972973	90.6919815534
-432.432432432	-972.972972973	91.5924519066
-405.405405405	-972.972972973	92.5144496736
-378.378378378	-972.972972973	93.4586010269
-351.351351351	-972.972972973	94.4255062645
-324.324324324	-972.972972973	95.4157039863
-297.297297297	-972.972972973	96.4296206649
-270.27027027	-972.972972973	97.4675009939
-243.243243243	-972.972972973	98.5293130285
-216.216216216	-972.972972973	99.6146204754
-189.189189189	-972.972972973	100.722412588
-162.162162162	-972.972972973	101.850880197
-135.135135135	-972.972972973	102.997124919
-108.108108108	-972.972972973	104.156788577
-81.0810810811	-972.972972973	105.323593104
-54.0540540541	-972.972972973	106.48879082
-27.027027027	-972.972972973	107.640545554
0.0	-972.972972973	108.763302482
27.027027027	-972.972972973	109.837263756
54.0540540541	-972.972972973	110.838166526
81.0810810811	-972.972972973	111.737641661
108.108108108	-972.972972973	112.504468198
135.135135135	-972.972972973	113.106952897
162.162162162	-972.972972973	113.516382547
189.189189189	-972.972972973	113.711031748
216.216216216	-972.972972973	113.679745115
243.243243243	-972.972972973	113.423970093
270.27027027	-972.972972973	112.957517682
297.297297297	-972.972972973	112.304138565
324.324324324	-972.972972973	111.493760711
351.351351351	-972.972972973	110.558524077
378.378378378	-972.972972973	109.529515584
405.405405405	-972.972972973	108.434620071
432.432432432	-972.972972973	107.297466091
459.459459459	-972.972972973	106.137206146
486.486486486	-972.972972973	104.96881667
513.513513514	-972.972972973	103.803654238
540.540540541	-972.972972973	102.650088422
567.567567568	-972.972972973	101.514107929
594.594594595	-972.972972973	100.399851306
621.621621622	-972.972972973	99.3100470437
648.648648649	-972.972972973	98.2463658718
675.675675676	-972.972972973	97.2096960623
702.702702703	-972.972972973	96.2003549576
729.72972973	-972.972972973	95.2182495071
756.756756757	-972.972972973	94.2629969673
783.783783784	-972.972972973	93.3340149641
810.810810811	-972.972972973	92.430588239
837.837837838	-972.972972973	91.5519177881
864.864864865	-972.972972973	90.6971567723
891.891891892	-972.972972973	89.8654365316
918.918918919	-972.972972973	89.0558852189
945.945945946	-972.972972973	88.2676409479
972.972972973	-972.972972973	87.4998608743
1000.0	-972.972972973	86.7517272759
-1000.0	-945.945945946	76.4997461319
-972.972972973	-945.945945946	77.0776877452
-945.945945946	-945.945945946	77.6690732348
-918.918918919	-945.945945946	78.2742867417
-891.891891892	-945.945945946	78.8937129432
-864.864864865	-945.945945946	79.5277368627
