x	y	t	particle
210.0	-700.0	0.0	0
330.153004792	-703.157614908	165909090.909	0
384.122968639	-706.196804719	331818181.818	0
425.724981811	-709.086233727	497727272.727	0
460.915223826	-711.846941726	663636363.636	0
492.004433986	-714.494677338	829545454.545	0
520.17817683	-717.041490847	995454545.455	0
546.140778662	-719.496964341	1161363636.36	0
570.351123099	-721.868955778	1327272727.27	0
593.127934901	-724.164063571	1493181818.18	0
614.703260126	-726.387931537	1659090909.09	0
635.252277991	-728.545458188	1825000000.0	0
654.911093966	-730.640945931	1990909090.91	0
673.787954496	-732.67821081	2156818181.82	0
691.970642131	-734.660665429	2322727272.73	0
709.531518691	-736.591383023	2488636363.64	0
726.531077158	-738.473147878	2654545454.55	0
743.020506116	-740.308495762	2820454545.45	0
759.043577389	-742.09974666	2986363636.36	0
774.638077466	-743.849031929	3152272727.27	0
789.836895355	-745.558316614	3318181818.18	0
804.668870688	-747.229418453	3484090909.09	0
819.159461445	-748.864023812	3650000000.0	0
833.331277027	-750.463701388	3815909090.91	0
847.204506516	-752.029914006	3981818181.82	0
860.797267032	-753.564028813	4147727272.73	0
874.125893134	-755.067326176	4313636363.64	0
887.205173827	-756.541007476	4479545454.55	0
900.048550998	-757.986202012	4645454545.45	0
912.668285629	-759.40397307	4811363636.36	0
925.075599132	-760.795323316	4977272727.27	0
937.280793488	-762.161199595	5143181818.18	0
949.29335461	-763.502497319	5309090909.09	0
961.122040889	-764.820064286	5475000000.0	0
972.774954938	-766.114704114	5640909090.91	0
984.259618823	-767.387179615	5806818181.82	0
995.5830242	-768.638215469	5972727272.73	0
1006.75168774	-769.868500891	6138636363.64	0
1017.77169331	-771.078692005	6304545454.55	0
1028.64873207	-772.269414042	6470454545.45	0
1039.3881379	-773.441263286	6636363636.36	0
1049.99491695	-774.594808868	6802272727.27	0
1060.47377701	-775.730594517	6968181818.18	0
1070.82915036	-776.849140034	7134090909.09	0
1081.06521744	-777.950942757	7300000000.0	0
1091.18592621	-779.036478863	7465909090.91	0
1101.19500962	-780.10620456	7631818181.82	0
1111.09599937	-781.160557134	7797727272.73	0
1120.89224719	-782.199956232	7963636363.64	0
1130.58693142	-783.224804583	8129545454.55	0
1140.18307226	-784.235489029	8295454545.45	0
1149.68354301	-785.232381377	8461363636.36	0
1159.09107729	-786.215839073	8627272727.27	0
1168.40828214	-787.186206078	8793181818.18	0
1177.63764293	-788.143813421	8959090909.09	0
1186.78153289	-789.088979927	9125000000.0	0
1195.84222013	-790.022012816	9290909090.91	0
1204.82187281	-790.943208206	9456818181.82	0
1213.72256712	-791.852851711	9622727272.73	0
1222.54629099	-792.751218865	9788636363.64	0
1231.29495027	-793.638575658	9954545454.55	0
1239.97037333	-794.515178975	10120454545.5	0
1248.57431499	-795.381276966	10286363636.4	0
1257.10846177	-796.237109484	10452272727.3	0
1265.57443377	-797.082908378	10618181818.2	0
1273.97378804	-797.918897831	10784090909.1	0
